,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,10.2171,85,0.631,0.27399999999999997,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,4,2
4,Awkward,Ctrl (Deluxe),SZA,2022-06-09,2.966666666666667,78,0.618,0.182,0.474,0.000122,0.10800000000000001,-12.097000000000001,0.0789,119.999,4,2
6,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.6970000000000001,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3,2
7,august,folklore,Taylor Swift,2020-07-24,4.365366666666667,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000001,4,2
11,Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,3.4589999999999996,84,0.5820000000000001,0.5770000000000001,0.568,0.0,0.105,-7.3,0.0275,121.991,3,2
12,Another Love,Long Way Down,Tom Odell,2013-09-17,4.072666666666667,73,0.445,0.695,0.537,1.6e-05,0.0941,-8.532,0.04,122.764,4,2
15,ALL MINE,WASTELAND,Brent Faiyaz,2022-07-08,3.601033333333333,81,0.617,0.428,0.37799999999999995,9.159999999999999e-05,0.11,-8.54,0.0315,141.967,4,2
17,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.013999999999999,87,0.625,0.659,0.5329999999999999,0.00266,0.0546,-11.902999999999999,0.0596,108.296,4,2
19,ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",2019-05-17,4.424666666666667,82,0.21600000000000003,0.128,0.49700000000000005,2.39e-06,0.111,-8.025,0.0371,187.308,3,2
20,All Your'n,Country Squire,Tyler Childers,2019-08-02,3.638,78,0.585,0.408,0.55,3.97e-05,0.115,-7.3420000000000005,0.0255,78.176,4,2
24,See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,3.0064333333333333,85,0.5579999999999999,0.371,0.5589999999999999,7.49e-06,0.109,-9.222000000000001,0.0959,78.558,4,2
35,Al Final,Al Final,Chris Jonex,2022-08-26,2.2568166666666665,80,0.597,0.8440000000000001,0.358,0.0,0.114,-7.946000000000001,0.0277,109.96,4,2
39,Pink + White,Blonde,Frank Ocean,2016-08-20,3.075266666666667,85,0.545,0.667,0.545,5.479999999999999e-05,0.41700000000000004,-7.362,0.107,159.94,3,2
43,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),Charlie Puth,2022-06-24,2.574766666666666,93,0.8809999999999999,0.619,0.5920000000000001,1.32e-05,0.0901,-4.898,0.0324,101.05799999999999,4,2
50,Bad Habit,Bad Habit,Steve Lacy,2022-06-29,3.8685666666666663,93,0.6859999999999999,0.626,0.507,7.509999999999998e-05,0.38299999999999995,-7.097,0.0357,168.955,4,2
60,Bad Habit,Gemini Rights,Steve Lacy,2022-07-15,3.867766666666667,90,0.6859999999999999,0.613,0.494,5.7999999999999994e-05,0.402,-7.093,0.0355,168.946,4,2
61,Buy Dirt,Buy Dirt,Jordan Davis,2021-05-21,2.791333333333333,81,0.586,0.639,0.5589999999999999,0.0,0.0872,-6.725,0.05,177.945,4,2
63,Boyfriend,Boyfriend,Dove Cameron,2022-02-11,2.55,87,0.345,0.23199999999999998,0.612,0.0,0.19399999999999998,-6.542999999999999,0.0608,179.773,3,2
65,Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,3.8002166666666666,89,0.369,0.555,0.192,8.35e-06,0.0954,-12.151,0.04,175.21200000000002,3,2
70,Beautiful Crazy,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,3.22,80,0.551,0.6759999999999999,0.402,0.0,0.0928,-7.431,0.0262,103.31299999999999,4,2
71,HONEST,DIE FOR MY BITCH,Baby Keem,2019-07-19,2.877866666666667,84,0.6759999999999999,0.40299999999999997,0.536,3.37e-05,0.105,-8.79,0.0432,79.03699999999999,4,2
74,TV,Guitar Songs,Billie Eilish,2022-07-21,4.689666666666667,85,0.41200000000000003,0.83,0.23600000000000002,0.006529999999999999,0.147,-15.159,0.0379,140.214,4,2
80,"Burn, Burn, Burn","Burn, Burn, Burn",Zach Bryan,2022-09-08,4.480933333333334,77,0.508,0.897,0.29600000000000004,5e-05,0.11,-10.513,0.0755,82.53200000000001,4,2
84,BEST INTEREST,BEST INTEREST,"Tyler, The Creator",2020-01-25,2.1320166666666664,80,0.596,0.0861,0.575,0.000153,0.33399999999999996,-8.325,0.0514,98.265,3,2
86,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012-12-07,3.5637666666666665,87,0.612,0.932,0.28,0.0,0.08800000000000001,-8.648,0.0434,72.795,4,2
89,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,4.98165,89,0.332,0.767,0.225,0.00349,0.128,-8.697000000000001,0.0348,81.055,3,2
109,The Color Violet,Alone At Prom,Tory Lanez,2021-12-10,3.7744333333333335,85,0.645,0.157,0.534,0.0,0.0863,-10.8,0.0479,105.02,4,2
110,Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,3.4242166666666667,80,0.631,0.657,0.591,0.0,0.11,-5.785,0.0277,97.074,4,2
112,Tennessee Whiskey,Traveller,Chris Stapleton,2015-05-04,4.888216666666667,82,0.392,0.205,0.37,0.0096,0.0821,-10.888,0.0298,48.718,4,2
121,cardigan,folklore,Taylor Swift,2020-07-24,3.9926666666666666,83,0.613,0.537,0.581,0.00034500000000000004,0.25,-8.588,0.0424,130.033,4,2
122,Cover Me Up,Dangerous: The Double Album,Morgan Wallen,2021-01-08,4.8951,79,0.5489999999999999,0.23199999999999998,0.44,7.37e-06,0.107,-8.192,0.0264,128.01,3,2
125,Clouded,Fuck The World,Brent Faiyaz,2020-02-07,1.8354666666666664,81,0.583,0.774,0.344,0.0,0.14300000000000002,-8.765,0.0559,65.203,3,2
127,C U Girl,C U Girl,Steve Lacy,2015-02-15,2.1616166666666667,80,0.414,0.6629999999999999,0.473,0.0523,0.128,-8.911,0.11599999999999999,100.0,4,2
