,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
5,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,4.835766666666666,84,0.369,0.0194,0.467,0.46,0.109,-9.017999999999999,0.0274,94.473,4,3
26,Alien Blues,Gawk,Vundabar,2015-07-24,2.598883333333333,83,0.467,0.0807,0.757,0.9079999999999999,0.0876,-5.093,0.033,82.28200000000001,4,3
53,Static,Gemini Rights,Steve Lacy,2022-07-15,2.608433333333333,88,0.335,0.434,0.305,0.631,0.10099999999999999,-12.661,0.0741,79.001,5,3
98,Brown Sleep Noise,Brown Sleep Noise,Sleep Miracle,2020-12-16,4.133333333333334,80,0.0555,0.11599999999999999,0.0837,1.0,0.11199999999999999,-30.397,0.147,59.50899999999999,4,3
129,Chamber Of Reflection,Salad Days,Mac DeMarco,2014-04-01,3.86205,82,0.5379999999999999,0.262,0.557,0.914,0.102,-8.677999999999999,0.0914,131.03,4,3
133,Cry,Cry,Cigarettes After Sex,2019-10-25,4.28,78,0.409,0.763,0.39899999999999997,0.654,0.11199999999999999,-10.456,0.0275,142.82299999999998,4,3
234,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,4.090416666666667,86,0.7040000000000001,0.902,0.225,0.657,0.106,-14.454,0.0994,120.006,4,3
262,Freaks,Freaks,Surf Curse,2021-05-15,2.451033333333333,87,0.345,3.84e-05,0.941,0.633,0.0511,-9.918,0.0466,179.62599999999998,4,3
435,i walk this earth all by myself,i walk this earth all by myself,EKKSTACY,2021-03-05,2.427233333333333,73,0.595,0.507,0.588,0.7809999999999999,0.113,-11.312999999999999,0.0624,166.06099999999998,4,3
453,Jealous,Jealous,Eyedress,2019-12-06,2.0389666666666666,84,0.474,0.00491,0.9209999999999999,0.85,0.47600000000000003,-10.431,0.0457,93.01,4,3
462,Je te laisserai des mots,Je te laisserai des mots,Patrick Watson,2010-09-10,2.680883333333333,85,0.303,0.9890000000000001,0.187,0.489,0.10099999999999999,-16.757,0.0356,132.731,4,3
503,K.,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,5.3260000000000005,79,0.45399999999999996,0.146,0.40399999999999997,0.8190000000000001,0.141,-10.26,0.027000000000000003,94.113,4,3
551,Poland,Poland,Lil Yachty,2022-10-11,1.3866666666666667,80,0.695,0.141,0.555,0.826,0.11,-8.5,0.0509,150.024,4,3
591,Brahms Lullaby,Brahms Lullaby,Lucy Bennett,2021-09-30,1.6646166666666666,73,0.521,0.996,0.0473,0.9640000000000001,0.10099999999999999,-21.921,0.0601,137.368,3,3
640,My Kind of Woman,2,Mac DeMarco,2012-10-16,3.18075,82,0.501,0.00294,0.765,0.49,0.184,-7.063,0.0281,91.771,4,3
819,Be Quiet and Drive (Far Away),Around the Fur,Deftones,1997-10-27,4.997766666666666,76,0.20600000000000002,9.91e-06,0.965,0.8270000000000001,0.36700000000000005,-5.1160000000000005,0.079,92.615,4,3
877,raining for hours,grey cloud,ame,2021-08-13,2.191666666666667,82,0.231,0.152,0.976,0.987,0.48,-27.426,0.0487,96.552,5,3
882,Ribs,Pure Heroine,Lorde,2013-09-27,4.31615,80,0.511,0.534,0.47200000000000003,0.614,0.11,-9.277000000000001,0.091,127.978,4,3
927,Solo,HNDRXX,Future,2017-07-27,4.4332666666666665,77,0.784,0.0538,0.486,0.49700000000000005,0.10099999999999999,-6.497000000000001,0.0475,110.964,4,3
1069,Vas,Triplbt Theme,jagger finn,2019-08-28,1.5053833333333333,79,0.514,0.9179999999999999,0.424,0.8490000000000001,0.126,-10.645,0.0282,71.11399999999999,4,3
1188,haunt me (x 3),dc snuff film / waste yrself,Teen Suicide,2015-10-07,2.7611833333333333,73,0.5660000000000001,0.7140000000000001,0.613,0.799,0.0848,-10.118,0.0874,110.88600000000001,4,3
1205,YKWIM?,Bipolar,Yot Club,2019-05-31,3.5458333333333334,84,0.37200000000000005,0.937,0.537,0.873,0.287,-7.622999999999999,0.0305,123.735,3,3
1361,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,4.4366666666666665,78,0.767,0.0163,0.787,0.583,0.0513,-9.897,0.0331,126.87899999999999,4,3
1396,1 Pure Minute,Glacial,Gl8cier,2022-07-13,1.03845,73,0.196,0.9009999999999999,0.621,0.309,0.11199999999999999,-27.949,0.057,141.915,4,3
1580,White Noise - 500 hz,Unison,Granular,2017-10-13,2.4516,75,0.0,0.9229999999999999,4.98e-05,0.297,0.11,-32.354,0.0,0.0,0,3
1608,Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,3.5780000000000003,79,0.41200000000000003,0.0542,0.47700000000000004,0.7979999999999999,0.0975,-9.381,0.028999999999999998,75.30199999999999,4,3
1623,Sweet,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,4.860666666666667,76,0.44799999999999995,0.36200000000000004,0.511,0.823,0.129,-9.084,0.0274,96.321,4,3
