,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
0,As It Was,As It Was,Harry Styles,2022-03-31,2.788383333333333,96,0.52,0.342,0.731,0.00101,0.311,-5.337999999999999,0.0557,173.93,4,0
1,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.7040000000000001,0.0826,0.797,0.000745,0.0546,-5.9270000000000005,0.0475,139.994,4,0
3,About Damn Time,About Damn Time,Lizzo,2022-04-14,3.197033333333333,90,0.836,0.0995,0.743,0.0,0.335,-6.305,0.0656,108.96600000000001,4,0
9,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.0089999999999995,0.0751,100.964,4,0
10,After Dark,Time,Mr.Kitty,2014-10-06,4.3191,86,0.585,0.0696,0.595,0.266,0.0837,-10.444,0.0328,140.037,4,0
13,Antarctica,Antarctica,$uicideboy$,2016-01-26,2.1141666666666667,81,0.715,0.5529999999999999,0.633,4.45e-06,0.0905,-6.869,0.0804,105.945,5,0
16,"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,2020-02-14,2.80815,83,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.98299999999999,4,0
18,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,3.81955,90,0.4,0.0529,0.479,2.14e-06,0.115,-7.989,0.0308,166.15900000000002,4,0
21,As It Was,Harry's House,Harry Styles,2022-05-20,2.788383333333333,93,0.52,0.342,0.731,0.00101,0.311,-5.337999999999999,0.0557,173.93,4,0
22,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,3.4351,83,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,4,0
23,abcdefu,abcdefu,GAYLE,2021-08-13,2.810016666666667,87,0.695,0.299,0.54,0.0,0.36700000000000005,-5.692,0.0493,121.932,4,0
25,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,2.213,80,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4,0
27,Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,2019-09-13,4.080066666666666,89,0.466,0.00023500000000000002,0.9,0.0010400000000000001,0.10300000000000001,-4.468999999999999,0.0447,130.02,4,0
30,a lot,i am > i was,21 Savage,2018-12-21,4.8104,81,0.8370000000000001,0.0395,0.636,0.00125,0.342,-7.643,0.086,145.972,4,0
33,505,Favourite Worst Nightmare (Standard Version),Arctic Monkeys,2007-04-24,4.2264333333333335,84,0.52,0.00237,0.852,5.79e-05,0.0733,-5.8660000000000005,0.0543,140.267,4,0
36,STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022-09-22,3.509583333333333,91,0.637,0.14800000000000002,0.715,0.0,0.0892,-4.971,0.0455,141.872,4,0
37,World's Smallest Violin,OK ORCHESTRA,AJR,2021-03-26,3.012366666666667,79,0.68,0.11599999999999999,0.696,0.0,0.607,-6.977,0.051,115.962,4,0
38,ALIEN SUPERSTAR,RENAISSANCE,Beyoncé,2022-07-29,3.5909833333333334,85,0.545,0.004529999999999999,0.6409999999999999,6.59e-05,0.171,-6.398,0.0998,121.89200000000001,4,0
40,Attention,NewJeans 1st EP 'New Jeans',NewJeans,2022-08-01,3.0011,88,0.8109999999999999,0.23600000000000002,0.648,0.0,0.0761,-3.6839999999999997,0.0368,104.988,4,0
44,Bad To Me,Bad To Me,Wizkid,2022-09-13,2.9475,74,0.8590000000000001,0.07,0.8220000000000001,0.0144,0.10099999999999999,-5.005,0.0467,110.045,4,0
45,Adore You,Fine Line,Harry Styles,2019-12-13,3.4522166666666667,86,0.6759999999999999,0.0237,0.7709999999999999,7.000000000000001e-06,0.102,-3.675,0.0483,99.04799999999999,4,0
48,Tourner Dans Le Vide,Mini World,Indila,2014-01-01,4.10155,79,0.594,0.10300000000000001,0.698,0.0,0.17300000000000001,-8.645,0.0428,119.991,4,0
49,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,Kendrick Lamar,2018-02-09,3.8697666666666666,83,0.698,0.0605,0.633,0.000194,0.0926,-4.946000000000001,0.0597,96.92399999999999,4,0
