,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
8,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,2.76365,84,0.6709999999999999,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4,1
14,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.164883333333333,90,0.46299999999999997,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4,1
28,BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,1.6547,90,0.9,0.115,0.509,1.67e-06,0.0937,-6.647,0.257,100.007,4,1
29,All Falls Down,The College Dropout,Kanye West,2004-02-10,3.7251,82,0.657,0.149,0.7340000000000001,0.0,0.139,-4.832,0.484,91.03,4,1
31,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,3.215933333333333,85,0.578,0.0618,0.449,2.17e-06,0.11900000000000001,-6.349,0.28600000000000003,136.006,4,1
32,Alright,To Pimp A Butterfly,Kendrick Lamar,2015-03-16,3.65555,81,0.7959999999999999,0.0742,0.7659999999999999,0.0,0.0827,-5.974,0.23800000000000002,110.03399999999999,4,1
34,Crazy Rap (Colt 45 & 2 Zig Zags),The Good Times,Afroman,2001-08-28,5.477766666666668,75,0.927,0.325,0.36700000000000005,0.0,0.132,-7.797000000000001,0.382,99.053,4,1
42,Andrea,Un Verano Sin Ti,Bad Bunny,2022-05-06,5.6601833333333325,87,0.797,0.762,0.616,0.000293,0.0979,-10.229,0.375,103.071,4,1
47,Drip Too Hard (Lil Baby & Gunna),Drip Harder,Lil Baby,2018-10-05,2.4257,86,0.897,0.0852,0.662,0.0,0.534,-6.903,0.292,112.51100000000001,4,1
58,Tití Me Preguntó,Un Verano Sin Ti,Bad Bunny,2022-05-06,4.061933333333333,98,0.65,0.0993,0.715,0.000291,0.126,-5.1979999999999995,0.253,106.67200000000001,4,1
66,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,2022-05-06,3.0484333333333336,90,0.8009999999999999,0.0777,0.601,3.229999999999999e-05,0.145,-7.574,0.255,159.969,4,1
77,Beat the Odds,Beat the Odds,Lil Tjay,2022-08-26,2.5,82,0.498,0.054000000000000006,0.625,0.0,0.175,-7.452000000000001,0.342,84.821,4,1
83,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,3.2244333333333333,77,0.902,0.26,0.72,0.0,0.0749,-2.7760000000000002,0.34700000000000003,90.059,4,1
99,Best I Ever Had,So Far Gone,Drake,2009,4.294833333333333,78,0.395,0.19,0.922,0.0,0.134,-2.176,0.375,162.361,4,1
120,LA CANCIÓN,OASIS,J Balvin,2019-06-28,4.042883333333333,89,0.754,0.152,0.6459999999999999,1.85e-05,0.10800000000000001,-5.795,0.317,176.08900000000003,4,1
124,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,3.1256833333333334,81,0.935,0.0194,0.45399999999999996,0.0,0.0824,-7.5089999999999995,0.375,133.07299999999998,4,1
138,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,2020-05-01,3.6747833333333335,84,0.735,0.629,0.449,0.0,0.113,-7.507000000000001,0.34700000000000003,122.947,4,1
139,No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,4.879983333333334,89,0.69,0.324,0.521,0.0,0.0534,-8.492,0.33899999999999997,100.02799999999999,4,1
150,Dah Dah DahDah,Who is Nardo Wick?? (Deluxe),Nardo Wick,2022-07-22,2.5296,83,0.66,0.149,0.373,0.0,0.106,-10.234,0.595,167.912,4,1
152,Después de la Playa,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.84,89,0.564,0.35600000000000004,0.903,0.0,0.175,-3.221,0.307,78.293,4,1
157,Doja,Doja,Central Cee,2022-07-21,1.6232,93,0.9109999999999999,0.38,0.573,0.0,0.40299999999999997,-7.43,0.28800000000000003,140.04,4,1
162,Dreams and Nightmares,Dreams and Nightmares (Deluxe Edition),Meek Mill,2012-10-26,3.844883333333333,74,0.631,0.46799999999999997,0.774,0.0,0.281,-2.459,0.3,79.745,4,1
175,Don't,T R A P S O U L,Bryson Tiller,2015-10-02,3.304883333333333,82,0.765,0.223,0.35600000000000004,0.0,0.0963,-5.556,0.195,96.991,4,1
181,Wet Dreamz,2014 Forest Hills Drive,J. Cole,2014-12-09,3.9877666666666665,85,0.495,0.0697,0.722,0.0,0.113,-8.107999999999999,0.35700000000000004,175.627,4,1
185,Surface Pressure,Encanto (Original Motion Picture Soundtrack),Lin-Manuel Miranda,2021-11-19,3.370433333333333,77,0.65,0.0174,0.584,1.54e-06,0.042,-8.286,0.307,180.088,4,1
186,Die Young (feat. 347aidan),Die Young (feat. 347aidan),Sleepy Hallow,2022-05-25,2.4802666666666666,82,0.8079999999999999,0.8270000000000001,0.5820000000000001,0.0,0.111,-6.26,0.33799999999999997,77.471,4,1
190,You're Welcome,Moana (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2016-11-18,2.73155,75,0.7879999999999999,0.29,0.745,0.0,0.0373,-7.072,0.258,135.278,4,1
191,Detox,Detox,Lil Baby,2022-09-02,2.6939333333333333,80,0.845,0.027000000000000003,0.503,0.0,0.11599999999999999,-7.021,0.33399999999999996,147.031,4,1
194,Die Hard,Mr. Morale & The Big Steppers,Kendrick Lamar,2022-05-13,3.9837666666666665,83,0.775,0.319,0.736,0.00116,0.127,-8.072000000000001,0.247,100.988,4,1
215,Martin & Gina,THE GOAT,Polo G,2020-05-15,2.213866666666666,83,0.8320000000000001,0.345,0.534,0.0,0.165,-7.813,0.253,93.92399999999999,4,1
223,El Apagón,Un Verano Sin Ti,Bad Bunny,2022-05-06,3.3636,84,0.629,0.0509,0.698,0.0016600000000000002,0.0909,-4.485,0.308,117.765,4,1
225,EA (feat. 21 Savage),SlimeBall 2,Young Nudy,2017-08-11,3.78625,80,0.451,0.261,0.8759999999999999,0.0,0.098,-5.205,0.414,87.306,5,1
228,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,3.942066666666667,78,0.47700000000000004,0.000866,0.727,0.0,0.10800000000000001,-4.053,0.28600000000000003,150.062,4,1
