,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,cluster
0,As It Was,As It Was,Harry Styles,2022-03-31,2.788383333333333,96,0.52,0.342,0.731,0.00101,0.311,-5.337999999999999,0.0557,173.93,4,0
1,I Ain't Worried,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",OneRepublic,2022-05-13,2.47475,97,0.7040000000000001,0.0826,0.797,0.000745,0.0546,-5.9270000000000005,0.0475,139.994,4,0
2,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),Taylor Swift,2021-11-12,10.2171,85,0.631,0.27399999999999997,0.518,0.0,0.08800000000000001,-8.771,0.0303,93.023,4,2
3,About Damn Time,About Damn Time,Lizzo,2022-04-14,3.197033333333333,90,0.836,0.0995,0.743,0.0,0.335,-6.305,0.0656,108.96600000000001,4,0
4,Awkward,Ctrl (Deluxe),SZA,2022-06-09,2.966666666666667,78,0.618,0.182,0.474,0.000122,0.10800000000000001,-12.097000000000001,0.0789,119.999,4,2
5,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,4.835766666666666,84,0.369,0.0194,0.467,0.46,0.109,-9.017999999999999,0.0274,94.473,4,3
6,Evergreen (You Didn’t Deserve Me At All),Ivory,Omar Apollo,2022-04-08,3.6113333333333335,88,0.6970000000000001,0.598,0.336,0.00528,0.107,-10.395,0.0424,82.029,3,2
7,august,folklore,Taylor Swift,2020-07-24,4.365366666666667,87,0.532,0.5379999999999999,0.623,7.28e-05,0.0925,-9.208,0.0331,89.93700000000001,4,2
8,All Girls Are The Same,Goodbye & Good Riddance,Juice WRLD,2018-12-10,2.76365,84,0.6709999999999999,0.0769,0.529,0.000335,0.0856,-7.226,0.307,161.989,4,1
9,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,2022-06-03,3.214,92,0.733,0.121,0.67,0.0,0.121,-6.0089999999999995,0.0751,100.964,4,0
10,After Dark,Time,Mr.Kitty,2014-10-06,4.3191,86,0.585,0.0696,0.595,0.266,0.0837,-10.444,0.0328,140.037,4,0
11,Rock and A Hard Place,Rock and A Hard Place,Bailey Zimmerman,2022-06-10,3.4589999999999996,84,0.5820000000000001,0.5770000000000001,0.568,0.0,0.105,-7.3,0.0275,121.991,3,2
12,Another Love,Long Way Down,Tom Odell,2013-09-17,4.072666666666667,73,0.445,0.695,0.537,1.6e-05,0.0941,-8.532,0.04,122.764,4,2
13,Antarctica,Antarctica,$uicideboy$,2016-01-26,2.1141666666666667,81,0.715,0.5529999999999999,0.633,4.45e-06,0.0905,-6.869,0.0804,105.945,5,0
14,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,Future,2022-04-29,3.164883333333333,90,0.46299999999999997,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,4,1
15,ALL MINE,WASTELAND,Brent Faiyaz,2022-07-08,3.601033333333333,81,0.617,0.428,0.37799999999999995,9.159999999999999e-05,0.11,-8.54,0.0315,141.967,4,2
16,"...And to Those I Love, Thanks for Sticking Around",Stop Staring At the Shadows,$uicideboy$,2020-02-14,2.80815,83,0.792,0.124,0.511,9.04e-05,0.14,-6.876,0.0409,113.98299999999999,4,0
17,Running Up That Hill (A Deal With God) - 2018 Remaster,Hounds of Love (2018 Remaster),Kate Bush,1985-09-16,5.013999999999999,87,0.625,0.659,0.5329999999999999,0.00266,0.0546,-11.902999999999999,0.0596,108.296,4,2
18,Atlantis,Tell Me It's Real (Expanded Edition),Seafret,2016-01-29,3.81955,90,0.4,0.0529,0.479,2.14e-06,0.115,-7.989,0.0308,166.15900000000002,4,0
19,ARE WE STILL FRIENDS?,IGOR,"Tyler, The Creator",2019-05-17,4.424666666666667,82,0.21600000000000003,0.128,0.49700000000000005,2.39e-06,0.111,-8.025,0.0371,187.308,3,2
20,All Your'n,Country Squire,Tyler Childers,2019-08-02,3.638,78,0.585,0.408,0.55,3.97e-05,0.115,-7.3420000000000005,0.0255,78.176,4,2
21,As It Was,Harry's House,Harry Styles,2022-05-20,2.788383333333333,93,0.52,0.342,0.731,0.00101,0.311,-5.337999999999999,0.0557,173.93,4,0
22,She Had Me At Heads Carolina,Stereotype,Cole Swindell,2022-04-08,3.4351,83,0.607,0.124,0.912,0.0,0.332,-3.449,0.0611,134.944,4,0
